gene_id,gene_symbol,fpkm_C42B0,fpkm_C42B25nM,fpkm_C42B50nM,tpm_C42B0,tpm_C42B25nM,tpm_C42B50nM,read_count_C42B0,read_count_C42B25nM,read_count_C42B50nM
8754,ADAM9,42.19,46.76,39.63,78.12,88.46,73.18,3053.74,3302.65,2694.76
8756,ADAM7,1.58,2.33,2.05,2.92,4.41,3.78,93,133,111
8760,CDS2,4.84,4.78,4.74,8.97,9.05,8.75,832.85,805.01,769.8
8761,PABPC4,80.75,37.93,39.93,149.54,71.76,73.74,4696,2145,2191
8763,CD164,90.86,166.86,141.88,168.25,315.66,262,5018,8973,7353
8764,TNFRSF14,6.84,13.92,13.28,12.66,26.33,24.52,216,433,405
8766,RAB11A,44.59,67.76,57.08,82.58,128.18,105.4,4102.76,6062.61,4949.69
8767,RIPK2,14.92,9.5,9.5,27.63,17.97,17.53,665,413,401
8771,TNFRSF6B,1.01,1.04,1.54,1.88,1.97,2.84,21,21,30
8772,FADD,31.78,24.68,24.69,58.85,46.69,45.59,1001,756,733
8773,SNAP23,22.6,31.78,24.84,41.86,60.12,45.87,970.44,1324.24,1002.98
8774,NAPG,13.63,13.99,11.3,25.24,26.47,20.87,910,908,711.06
8775,NAPA,91.6,165.24,180.38,169.63,312.59,333.08,2794,4899,5187
8776,MTMR1,11.11,13.95,12.18,20.57,26.38,22.49,757.3,898.5,720.54
8777,MPDZ,2.46,3.05,3,4.55,5.77,5.54,357,429,411
8778,SIGLEC5,0,0.04,0,0,0.07,0,0,1.17,0
8780,RIOK3,12.77,16.48,14.93,23.65,31.17,27.57,853.99,1072.07,941.52
8784,TNFRSF18,2.14,1.1,1.46,3.96,2.08,2.69,42,21,27
8785,MATN4,0.39,0.62,0.47,0.73,1.18,0.86,17,27,19
8786,RGS11,1.3,1.62,1.54,2.41,3.07,2.85,58,67,61
8787,RGS9,0.09,0.18,0.28,0.17,0.34,0.51,5,8,12
8789,FBP2,1.02,0.93,1.09,1.89,1.75,2,25,22,25
8790,FPGT,3.05,3.39,3.16,5.66,6.42,5.84,271,292.81,263
8792,TNFRSF11A,0.87,1.33,1.31,1.6,2.51,2.42,73.98,111.94,108.15
8793,TNFRSF10D,15.02,18.04,15.36,27.81,34.12,28.36,994.02,1160.97,958.1
8794,TNFRSF10C,0.78,3.3,3.23,1.45,6.24,5.97,20,81.99,77.92
8795,TNFRSF10B,33.01,103.62,91.81,61.14,196.02,169.53,2447.49,7489.56,6425.06
8796,SCEL,0,0.02,0,0,0.04,0,0,1,0
8797,TNFRSF10A,11.96,13.92,13.13,22.14,26.32,24.24,599.56,678.56,620.48
8798,DYRK4,31.61,19,21.55,58.53,35.93,39.8,564,338,369
8799,PEX11B,14.42,18.68,20.63,26.7,35.34,38.1,430,542,580
8800,PEX11A,2.15,2.19,1.7,3.98,4.15,3.14,105.68,105.07,80.52
8801,SUCLG2,34.05,28.75,25.03,63.05,54.39,46.22,1497,1230,1031
8802,SUCLG1,79.07,74.88,73.09,146.42,141.64,134.97,1833,1688,1597
8803,SUCLA2,22.56,34.41,28.29,41.77,65.09,52.25,883,1310,1044
8804,CREG1,61.37,61.44,61.88,113.64,116.23,114.27,2237,2178,2126
8805,TRIM24,17.96,21.58,22.09,33.26,40.82,40.79,1485.69,1731.68,1666.22
8808,IL1RL2,0,0,0.05,0,0,0.1,0,0,2
8809,IL18R1,0.14,0.31,0.46,0.27,0.58,0.85,8,22,25
8811,GALR2,1.39,1.31,1.52,2.58,2.48,2.81,44,37,43
8812,CCNK,28.19,50.02,52.73,52.2,94.63,97.36,1566.16,2576.48,2606.94
8813,DPM1,73.49,65.09,49.99,136.1,123.12,92.31,1412,1210,900
8814,CDKL1,1.98,1.98,1.94,3.66,3.74,3.58,141.42,139.05,122.88
8815,BANF1,356.58,395.61,451.2,660.32,748.38,833.18,4878.72,5316,5810.31
8816,DCAF5,9.34,12.05,11.75,17.29,22.79,21.7,1014,1193,1165
8817,FGF18,0.05,0.06,0.09,0.1,0.11,0.16,2,2,3
8818,DPM2,129.52,97.61,99.24,239.85,184.65,183.26,2002,1419,1403
8819,SAP30,17.79,15.4,14.08,32.95,29.13,26,354,298,264
8820,HESX1,0.37,0.03,0.06,0.69,0.06,0.11,15,1,1
8821,INPP4B,5.6,4.47,3.75,10.37,8.46,6.93,573.13,423.67,316.76
8822,FGF17,0,0.13,0.22,0,0.24,0.41,0,3,5
8824,CES2,15.21,28.09,30.31,28.16,53.14,55.97,1055.26,1798.02,1839.17
8825,LIN7A,13.48,11.56,9.4,24.97,21.87,17.36,1542.94,1282.97,1008.96
8826,IQGAP1,9.08,11.4,11,16.82,21.56,20.3,1234,1506,1408
8828,NRP2,0.13,0.04,0.11,0.24,0.08,0.2,9,5,6
8829,NRP1,6.91,17.42,15.85,12.79,32.96,29.27,713,1729,1528
8831,SYNGAP1,4,2.97,3.19,7.41,5.62,5.9,450,326,339
8832,CD84,0.1,0.12,0.15,0.19,0.23,0.28,16.01,17.86,22.1
8833,GMPS,19.39,11.96,11.34,35.9,22.62,20.93,3102.64,1870.59,1721.08
8834,TMEM11,51.8,48.98,47.4,95.93,92.65,87.53,894,822,771
8835,SOCS2,6.92,9.88,5.97,12.81,18.69,11.03,314,410,241
8836,GGH,29.99,29.61,23.78,55.54,56.01,43.92,688.5,657.33,515.53
8837,CFLAR,12.79,11.13,10.89,23.68,21.06,20.11,1340.4,1628.76,1537.14
8838,CCN6,0,0.08,0.13,0,0.15,0.24,0,2,2
8839,CCN5,0.04,0,0.16,0.08,0,0.3,1,0,2
8840,CCN4,0.02,0.21,0.17,0.03,0.4,0.32,1.66,18,14.96
8841,HDAC3,40.89,32.46,30.27,75.72,61.41,55.89,1435,1107,993
